code[unique=true];$parentcategories
A0;Amplify-Arm, AmplifyStool-Arm, Focus-Arm, Focus-Synchro-Arm, FocusExec-Arm, FocusHD-Arm, FocusStool-Arm, Torsa-Arm, Wit-Arm, WitStool-Arm, InFlex-Arm, InFlex-Task-Arm, InFlex-Casters-Arm, InFlexStool-Arm, InFlexStool-Task-Arm, Lumin-Sled-Arm, LuminStool-Arm, RioStool-Arm, Rio-WireRod-Arm, FocusSide-Glides-Arm, FocusSide-Casters-Arm, FocusCafeStool-Arm, Achieve-Arm, Prava-Arm, Prava-KY-Arm, Sona-Arm, Lumin-Task-Arm, Rio-Task-Arm , Anytime-Glides-Black-Arm, Anytime-Glides-Silver-Arm, Anytime-Casters-Black-Arm, Anytime-Casters-Silver-Arm, Anytime-Task-Arm, AnytimeStool-Black-Arm, AnytimeStool-Silver-Arm, AnytimeStool-Task-Arm, GloveActive-Arm, GloveActive-HD-Arm, Knack-Arm, Knack-HD-Arm, KnackStool-Arm, NonStopHD-Size2-Arm, NonStopHD-Size3-Arm, NonStopHDStool-Arm, TR2-Arm, OnCall-Arm, OnCall-Task-Arm, OnCallStool-Arm, OnCallStool-Task-Arm, ReAlign-Arm, ReAlignStool-Arm, Relay-Arm, RelayStool-Arm, Rowdy-Arm, Social-Arm, TR2Stool-Arm, AmplifyLT-Arms, FocusLT-Arms
AR0;Novo-Arm, NovoStool-Arm, WitSide-Arms, NovoLT-Arms
AR1;Movi-Arms, MoviStool-Arms, WitSide-Arms
AR2;Novo-Arm, NovoStool-Arm
AR4;Novo-Arm, NovoStool-Arm
AR6;Novo-Arm, NovoStool-Arm
Rio4Leg.A0;Rio-Arm
Lumin4Leg.A0;Lumin-Arm
A2;TR2-Arm, TR2Stool-Arm
A12;TR2-Arm, TR2Stool-Arm
A15;TR2-Arm, TR2Stool-Arm
A17;TR2-Arm, TR2Stool-Arm
A26;GloveActive-Arm, GloveExec-Arm
A27L;GloveActive-Arm, GloveActive-HD-Arm
A27;GloveActive-Arm, GloveActive-HD-Arm
A28L;GloveActive-Arm, GloveActive-HD-Arm
A28;GloveActive-Arm, GloveActive-HD-Arm
A37;OnCall-Arm, OnCallStool-Arm
A40;Achieve-Arm
A41;GloveActive-Arm, GloveExec-Arm
A42;OnCall-Task-Arm, OnCallStool-Task-Arm
A43;TR2-Arm, TR2Stool-Arm
A44;TR2-Arm, TR2Stool-Arm
A47;Rowdy-Arm
A48;Anytime-Glides-Black-Arm, Anytime-Casters-Black-Arm, AnytimeStool-Black-Arm, Anytime-Task-Arm, AnytimeStool-Task-Arm
A49;Anytime-Glides-Silver-Arm, Anytime-Casters-Silver-Arm, AnytimeStool-Silver-Arm
A60;Relay-Arm, RelayStool-Arm
A67;NonStopHD-Size2-Arm, NonStopHDStool-Arm
A68;NonStopHD-Size2-Arm, NonStopHDStool-Arm
A69;NonStopHD-Size2-Arm, NonStopHDStool-Arm
A70;NonStopHD-Size2-Arm, NonStopHDStool-Arm
A71;NonStopHD-Size2-Arm, NonStopHDStool-Arm
A72;NonStopHD-Size3-Arm
A73;ReAlign-Arm, ReAlignStool-Arm
A74;ReAlign-Arm, ReAlignStool-Arm
A75;ReAlign-Arm, ReAlignStool-Arm
A76;ReAlign-Arm, ReAlignStool-Arm
A77;Knack-Arm, KnackStool-Arm, ReAlign-Arm, ReAlignStool-Arm
A80;Knack-Arm, Knack-HD-Arm, KnackStool-Arm
A81;Knack-Arm, Knack-HD-Arm, KnackStool-Arm
A90;Social-Arm
Rio.A91;RioStool-Arm, Rio-Task-Arm
Rio4Leg.A91;Rio-Arm
A91;Focus-Arm, FocusStool-Arm
A92;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm
A152;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm, FocusLT-Arms
LT.A152;AmplifyLT-Arms, NovoLT-Arms
A93;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm
A153;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm, FocusLT-Arms
LT.A153;AmplifyLT-Arms, NovoLT-Arms
A94;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm
A154;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm
A95;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm
A155;Focus-Arm, Focus-Synchro-Arm, FocusHD-Arm, FocusStool-Arm
A98;FocusExec-Arm
A99;FocusExec-Arm
A101;Sona-Arm
A102;Sona-Arm
A105;Prava-Arm, Prava-KY-Arm, Sona-Arm
A106;Prava-KY-Arm, Sona-Arm
A108;Prava-Arm, Prava-KY-Arm, Sona-Arm
A109;Prava-KY-Arm, Sona-Arm
A111;Prava-Arm, Prava-KY-Arm
A112;Prava-Arm, Prava-KY-Arm
A121;InFlex-Arm, InFlex-Casters-Arm, InFlexStool-Arm
A122;InFlex-Task-Arm, InFlexStool-Task-Arm
A127;Wit-Arm, WitStool-Arm
A128;Wit-Arm, WitStool-Arm
A129;Wit-Arm, WitStool-Arm
A130;FocusSide-Glides-Arm, FocusSide-Casters-Arm, FocusCafeStool-Arm
A131;Torsa-Arm
Rio.A131;Rio-WireRod-Arm
A132;Torsa-Arm
A134;Torsa-Arm
A140;Amplify-Arm, AmplifyStool-Arm
A141;Amplify-Arm, AmplifyStool-Arm
A142;Amplify-Arm, AmplifyStool-Arm
A146;Lumin-Sled-Arm
A147;Lumin-Task-Arm, LuminStool-Arm
