INSERT_UPDATE Product;code[unique=true];$parentcategories;$catalogVersion;name[lang=en];description[lang=en];dependentProducts(code,$catalogVersion);unit(code);$prices;toolTipText;dependencyMessage[lang=en];thumbnailURL;thumbnailLargeURL;assetID;lineartURL;dynamicRendering;sortOrder[default=0];scene7Value;exportOnly;$approved;defaultSelected;dependentCategories(code,$catalogVersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;InFlex.971;InFlex-FrameStyle;ExemplisCatalog:Staged;971;Four-Leg;;pieces;0 USD;Classic four-leg design creates stability for a secure seating experience. ;;;;;;0;0;;;;;InFlex-Glides, InFlex-Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;InFlexStool.971;InFlexStool-FrameStyle;ExemplisCatalog:Staged;971;Four-Leg;;pieces;0 USD;Classic four-leg design creates stability for a secure seating experience. ;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;InFlex.974;InFlex-FrameStyle;ExemplisCatalog:Staged;974;Four-Leg with Casters;;pieces;40 USD;Ideal collaboration seating for easy mobility and re-arranging for smart space planning.  ;;;;;;0;1;;;;;InFlex-Casters, InFlex-Casters-Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;InFlex.973;InFlex-Task-FrameStyle;ExemplisCatalog:Staged;973;Light Task;;pieces;0 USD;;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;InFlexStool.973;InFlexStool-Task-FrameStyle;ExemplisCatalog:Staged;973;Light Task;;pieces;0 USD;;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Knack.3323;Knack-BackSize, KnackStool-BackSize;ExemplisCatalog:Staged;3323;Midback;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Prava.6422;Prava-Back-Size;ExemplisCatalog:Staged;6422;Midback;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Prava.6423;Prava-Back-Size;ExemplisCatalog:Staged;6423;Highback;;pieces;32 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;;Prava-Headrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;ReAlign.681;ReAlign-BackSize, ReAlignStool-BackSize;ExemplisCatalog:Staged;681;Midback;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;ReAlign.682;ReAlign-BackSize;ExemplisCatalog:Staged;682;Highback;;pieces;32 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
